video_id,title,category_id,publish_time,views,likes,comment_count,region,language,publish_hour,like_ratio,comment_ratio,engagement_score,title_sentiment,viral
Z2-_EYDUFAk,Aaya Sher - Song Promo | The Paradise | Nani | Anirudh Ravichander | Srikanth Odela,10,2026-02-23 05:37:00+00:00,2423362,148177,1775,IN,id,5,0.06114521891487941,0.0007324535088030596,0.06187767242368247,0.0,1
BCQwSlYlEe8,Thaai Kizhavi - Official Trailer | Radikaa Sarathkumar | Sivakumar Murugesan | Nivas K Prasanna,1,2026-02-23 11:30:09+00:00,861683,28303,835,IN,et,11,0.032846185894348616,0.0009690338558379358,0.03381521975018655,0.0,1
db-fpyGiZLA,MICHAEL GOT KIDNAPPED BY TOMMY VERCETTI | GTA 5 GAMEPLAY #165,20,2026-02-21 03:30:24+00:00,10993607,904268,233152,IN,de,3,0.08225398633951532,0.021207962045577945,0.10346194838509326,0.0,1
BjB1MvWZn4s,Aura Of Ustaad - Lyric Video | Ustaad Bhagat Singh | Pawan Kalyan | Harish Shankar | Devi Sri Prasad,10,2026-02-22 13:56:49+00:00,10300484,149292,4130,IN,id,13,0.014493687869424388,0.00040095203293359806,0.014894639902357986,0.25,1
cXymbHU5i-U,Toxic Official Hindi Teaser | Rocking Star Yash | Geetu Mohandas | KVN | Monster Mind Creations,1,2026-02-20 04:05:00+00:00,19769127,466409,22694,IN,en,4,0.023592796990984984,0.0011479515509207868,0.02474074854190577,0.0,1
2P24-ufzkUw,"100,000 UC CRIMSON SKYBLADE M416 MAXING OUT | JONATHAN IS BACK!! | BGMI!",20,2026-02-23 22:48:02+00:00,1870908,180173,538,IN,en,22,0.09630243710540551,0.00028756090625514457,0.09658999801166065,0.0,1
0oDvbwPcaL8,#Video | ठुमका पर झुमका | #Raushan Rohi & #Srishti Bharti | Thumka Par Jhumka | #Maghi Superhit Song,10,2026-02-22 03:21:20+00:00,1028755,41881,3024,IN,sw,3,0.040710373218113154,0.0029394753852958187,0.043649848603408974,0.0,1
N3Z6QV6bGq8,#CULT Red Band Teaser - India's First Slasher | Vishwak Sen | Ravi Basrur | Sandeep Kakarala,10,2026-02-21 11:01:27+00:00,1668701,66335,1806,IN,en,11,0.03975247812520038,0.0010822789702888654,0.04083475709548925,0.125,1
uhrtVgLq1es,I Got ADOPTED By AVARITIA Family In Minecraft!,20,2026-02-23 11:33:14+00:00,776559,12086,624,IN,en,11,0.01556353091007895,0.0008035448690955871,0.01636707577917454,0.0,1
bYyQroV2B-M,HOLI BAAD AAKE | (होली बाद आके) (Song)- Khesari Lal Yadav | Raksha Gupta | Bhojpuri Holi Song 2026,10,2026-02-22 02:13:49+00:00,2541771,109706,9814,IN,id,2,0.04316124465972741,0.003861087407166106,0.04702233206689352,0.0,1
wY1V7rEAQ3o,"Subedaar - Official Trailer | Anil Kapoor, Radhikka Madan, Aditya Rawal, Mona Singh, Saurabh Shukla",24,2026-02-23 13:48:08+00:00,921603,15401,759,IN,id,13,0.016711100115776534,0.0008235650274575929,0.017534665143234127,0.0,1
sx3SFVYnMzs,I MADE INDIA'S BIGGEST GAMING ROOM 😍| GamerFleet,22,2026-02-22 06:30:35+00:00,3089579,241800,12076,IN,en,6,0.0782630902139094,0.003908623148979198,0.0821717133628886,0.0,1
f8KfAEktAkA,BALANTHARALA BAILELLU SONG 2026 | SINGER KOMALI | HANMANTH YADAV | PARSHURAM NAGAM | NAGALAXMI,10,2026-02-22 03:00:07+00:00,415362,17729,730,IN,de,3,0.042683249791747924,0.0017575030936869526,0.04444075288543487,0.0,0
oq4ngKNJg7w,JETHANI KI ARRANGE MARRIAGE DEVRANI KI LOVE MARRIAGE BHOJPURI OFFICIAL TRAILER | SMRITY SINHA,1,2026-02-21 02:30:48+00:00,1606603,9004,86,IN,en,2,0.00560437145953294,5.3529092127924574e-05,0.005657900551660865,0.5,1
EN58d013xWY,New Community Event: Unleash the Duke,20,2026-02-23 12:50:00+00:00,2540358,57706,2066,IN,en,12,0.022715695976708795,0.0008132712003583747,0.023528967177067168,0.13636363636363635,1
-n9FAqZ71uo,#Video - लहे लहे रंगब सलवरवा | #Pawan Singh | Ai Version New Bhojpuri Holi Song 2026,10,2026-02-23 01:00:01+00:00,255496,11661,721,IN,en,1,0.04564063625262235,0.002821961987663212,0.048462598240285565,0.13636363636363635,0
Etto7UB3Q5Q,Ishqa'n De Lekhe (Official Trailer) | Gurnam Bhullar | Isha Malviya | New Punjabi Movie 2026,10,2026-02-23 04:35:30+00:00,887747,12498,537,IN,en,4,0.014078335381589575,0.0006049020723246601,0.014683237453914234,0.13636363636363635,1
AsOeA8Trpfw,[Hindi] BGIS 2026 | ROUND 4 | Day 4,20,2026-02-22 14:35:41+00:00,1828922,50371,179,IN,so,14,0.0275413604298051,9.787186112912416e-05,0.02763923229093422,-0.2,1
BZVZWtkyUWI,#Video | #नीलकमल सिंह | धरS कमर राजा जी | #Neelkamal Singh | Shrishti Uttrakhandi | Bhojpuri Song,10,2026-02-21 01:00:27+00:00,171350,231,3,IN,id,1,0.0013481178873650424,1.7508024511234316e-05,0.0013656259118762766,0.0,0
LgcEnD1GdPI,Vijay Thalapathy LEO MASTER New Movie Hindi Dubbed | South Movie | action trailer movie #trending ,22,2026-02-23 23:00:36+00:00,118391,0,20,IN,en,23,0.0,0.00016893176001554172,0.00016893176001554172,0.11818181818181818,0
YJNX_2Y7c4Q,Poppy Playtime Chapter 5 (Full Gameplay),20,2026-02-23 14:46:32+00:00,568323,34697,2925,IN,en,14,0.06105154991087815,0.005146721142730454,0.06619827105360859,0.35,0
v4GFI0DpuME,#Video - बैगनवा रे | #Aashish Yadav का एक और बबाल होली सांग | Baiganwa Re | #Magahi Holi Song 2026,10,2026-02-23 01:15:07+00:00,280127,11973,674,IN,tl,1,0.04274132804049592,0.0024060515409082307,0.04514737958140415,0.0,0
yX-D-UD5OcQ,Yadav Ji Ki Love Story Trailer| Yadav ji Ki Love Story Controversy| Yadav Ji Ki Love Story Movie ,22,2026-02-21 09:38:17+00:00,323724,2858,743,IN,en,9,0.008828508235410412,0.0022951650171133433,0.011123673252523754,0.5,0
KTaODa8vDyk,We Secretly Hide Inside Mennu's One Block in Minecraft..,20,2026-02-22 11:51:29+00:00,832502,11140,394,IN,en,11,0.013381349233995834,0.0004732721362831561,0.01385462137027899,-0.4,1
vTUXy4cuIC4,Teri Yaadon Ki Chadar Odhe Official Video Dil Ne Tera Naam Liya #bollywood #hindisong #2026,10,2026-02-21 18:15:06+00:00,284132,1126,13,IN,en,18,0.003962946799374939,4.5753382230794136e-05,0.004008700181605733,0.0,0
OkQNl-gu834,Toxic Yash Teaser REVIEW | Deeksha Sharma,24,2026-02-20 08:47:45+00:00,867845,38667,2751,IN,en,8,0.04455519130720347,0.003169920896012537,0.047725112203216014,0.0,1
q5n0pMxDJBk,Weltify Pro Clash Season 2 | Semi Finals Day 1 | #godlike #gdr #rntx #orangutan  #8bit #getweltified,20,2026-02-23 18:03:57+00:00,344194,9971,2,IN,en,18,0.02896912787555855,5.810676537069211e-06,0.02897493855209562,0.0,0
-mGxF_kuEX0,1 Hour Nonstop मेरे तन में भी राम मेरे मन में भी राम | Ram Naam Jap | Powerful Ram Bhajan,22,2026-02-23 10:30:00+00:00,89670,568,31,IN,hi,10,0.006334337013493922,0.00034571205531392887,0.006680049068807851,0.3,0
lCf6M5lFv6w,KillR Teaser | Killer Teaser | Jyoti Poorvaj | Poorvaaj | Think Cinema | Telugu Movie 2026,24,2026-02-22 13:22:59+00:00,479577,89249,257,IN,et,13,0.186099416777702,0.0005358889187763383,0.18663530569647835,0.0,0
kPHaPtRzjYc,🔴[Live Free Fire New Rank Season Rank Push Live !!,20,2026-02-23 16:39:18+00:00,1095507,14190,21,IN,en,16,0.01295290673633304,1.9169206586539385e-05,0.01297207594291958,-0.17011363636363638,1
mV3_KiEj6Qg,#VIDEO - जमिन 52 बिघा कर देबौ | #Aashish Yadav. #Srishti Bharti - Garmi Movie - Balu Ke Thika Song,10,2026-02-21 22:37:33+00:00,360365,8484,70,IN,et,22,0.023542796886490087,0.00019424749906344957,0.023737044385553536,0.0,0
4BBEKu33BwU,Australian Couple React To TOXIC Teaser Trailer (Kannada),24,2026-02-22 11:00:09+00:00,91149,4664,139,IN,en,11,0.0511689651010982,0.001524975589419522,0.05269394069051772,0.0,0
KYjVQXC_n5k,❤️‍🔥💥கிராமத்து இனிமையான தேனிசை காதல் பாடல்கள்🎶 | Bus simulator gameplay 🎮,22,2026-02-24 00:30:15+00:00,64629,265,1,IN,ta,0,0.004100326478825295,1.5472930108774698e-05,0.00411579940893407,0.0,0
HsVsRBEfYBQ,"मगंलवार के दिन जरूर अपने घर में ये सुंदरकांड चलाकर रख देना कर्ज ,बीमारी खत्म और धन वर्षा शुरू",10,2026-02-23 23:00:31+00:00,43448,602,48,IN,hi,23,0.013855643527895416,0.0011047689191677407,0.014960412447063157,0.0,0
i6w7O1kwuBk,House of the Dragon Season 3 | Official Teaser | HBO Max,24,2026-02-19 16:00:06+00:00,4078181,129155,7215,IN,en,16,0.03166975668809207,0.0017691711083936685,0.03343892779648574,0.0,1
mQTV4XNp-Sg,घाघरी उठा के नाच नागिन जैसन गे #viral #trending#mahgi#song #Roshan Rohi.........,22,2026-02-23 04:54:40+00:00,67344,441,12,IN,tl,4,0.006548467569493941,0.0001781895937277263,0.0067266571632216676,0.0,0
f3qgXBF8Sik,"Tu Naachan Aala Se (Full Song) | Rahul PuthI | Ravi Bankner, Pahal Jagsi | New Haryanvi Song 2026",10,2026-02-22 09:44:32+00:00,157699,10935,1577,IN,id,9,0.06934095967634545,0.010000063411943006,0.07934102308828844,0.24318181818181817,0
